zip,N_est_2000,N_est_2001,N_est_2002,N_est_2003,N_est_2004,N_est_2005,N_est_2006,N_est_2007,N_est_2008,N_est_2009,N_est_2010,N_est_2011,N_est_2012,longitude,latitude
11364,455,471,503,504,495,505,542,530,544,564,584,585,578,-73.757759679,40.7458827364
11365,553,574,574,582,599,604,608,617,616,628,643,677,679,-73.7946348835,40.7398964638
11366,372,369,363,368,367,381,393,403,409,430,449,432,453,-73.7923527066,40.7281485666
11367,507,514,535,547,559,555,541,566,575,577,582,607,622,-73.8263436156,40.7303509074
11368,996,1046,1121,1157,1181,1209,1193,1188,1232,1243,1277,1282,1322,-73.8531345303,40.7496091686
11369,193,201,224,222,228,244,259,253,273,279,280,289,304,-73.8723341713,40.7633488507
11370,245,242,244,252,283,292,292,277,279,281,297,301,298,-73.8910499119,40.7637464701
11370,245,242,244,252,283,292,292,277,279,281,297,301,298,-73.8826412399,40.7911169022
11371,77,83,92,92,84,92,99,100,105,100,95,91,92,-73.8734108185,40.7744505383
11372,1409,1408,1463,1521,1554,1539,1527,1545,1538,1572,1629,1647,1724,-73.8835838439,40.7516638258
11373,1244,1259,1328,1359,1418,1434,1442,1416,1460,1450,1498,1523,1554,-73.8784233454,40.7388561098
11374,923,936,994,1019,1051,1093,1086,1072,1057,1086,1089,1108,1081,-73.8614697847,40.726403787
11375,1960,1964,1962,1963,2010,2057,2046,2064,2034,2052,2060,2102,2078,-73.8462879438,40.7206893999
11377,1420,1433,1447,1446,1456,1464,1458,1494,1460,1462,1492,1540,1595,-73.9050402301,40.7449246015
11378,952,977,1009,1018,1024,1031,1045,1095,1098,1113,1101,1114,1164,-73.9073010548,40.723782251
11379,424,441,474,483,521,509,514,538,537,526,543,555,597,-73.8794242082,40.7168379693
11385,1445,1441,1507,1518,1558,1626,1649,1656,1661,1697,1742,1777,1829,-73.8831496124,40.7012107679
11411,104,111,117,122,126,132,132,130,128,131,140,138,135,-73.7349943498,40.6945039804
11412,192,194,212,226,239,236,237,231,228,234,239,242,243,-73.758838198,40.6980197818
11413,357,356,390,386,385,398,409,418,425,428,433,435,461,-73.7508094488,40.6696705131
11414,445,467,442,439,454,460,459,463,447,431,438,438,434,-73.8450015949,40.6582622657
